date,entity_id,primary_metric,secondary_metric,value_pool,quality_score,risk_score
2026-01-01,DIG001,42.1,83.6,82327,70.3,30.6
2026-01-01,DIG002,71.7,78.4,47389,92.5,24.2
2026-01-01,DIG003,87.3,51.6,93729,90.6,77.1
2026-01-01,DIG004,49.3,28.8,73930,75.2,80.7
2026-01-01,DIG005,76.0,76.0,44107,63.0,19.4
2026-01-01,DIG006,82.6,30.9,43647,78.6,55.6
2026-01-01,DIG007,71.2,66.4,13867,94.5,73.2
2026-01-01,DIG008,80.0,79.4,98035,97.7,77.1
2026-01-01,DIG009,74.6,60.4,50665,91.2,89.4
2026-01-01,DIG010,87.0,19.8,114132,83.2,44.4
2026-01-01,DIG011,76.2,18.6,144904,84.9,43.5
2026-01-01,DIG012,78.4,60.7,183320,86.7,44.3
2026-01-01,DIG013,67.1,58.2,6623,98.1,81.9
2026-01-01,DIG014,93.0,55.7,51394,98.0,92.2
2026-01-01,DIG015,64.1,44.8,166896,85.0,74.6
2026-01-01,DIG016,77.9,23.8,169001,81.8,25.5
2026-01-01,DIG017,54.0,70.6,13884,74.3,31.9
2026-01-01,DIG018,78.8,64.7,94486,64.7,63.1
2026-01-01,DIG019,42.1,46.7,43486,72.2,13.5
2026-01-01,DIG020,93.5,19.5,88857,93.2,46.4
2026-01-01,DIG021,54.7,59.1,30648,72.2,71.8
2026-01-01,DIG022,96.4,36.3,17943,81.8,37.5
2026-01-01,DIG023,94.7,28.4,49554,63.4,21.6
2026-01-01,DIG024,59.1,23.8,17789,67.5,83.4
2026-01-01,DIG025,49.7,18.5,5066,79.8,64.9
2026-01-01,DIG026,64.2,65.0,42919,84.9,71.2
2026-01-01,DIG027,46.8,34.9,66966,73.2,82.3
2026-01-01,DIG028,62.6,25.6,184766,90.8,10.7
2026-01-01,DIG029,45.2,22.0,51296,97.6,21.5
2026-01-01,DIG030,72.1,83.7,12393,94.7,8.6
2026-01-01,DIG031,73.9,77.6,120680,91.3,42.6
2026-01-01,DIG032,84.9,79.9,106974,75.0,68.7
2026-01-01,DIG033,48.9,72.1,98318,71.1,54.3
2026-01-01,DIG034,40.5,22.3,96567,97.5,33.6
2026-01-01,DIG035,60.5,49.8,142863,86.0,73.2
2026-01-01,DIG036,61.2,79.0,125779,70.9,12.4
2026-01-02,DIG001,42.3,67.4,136484,79.3,23.2
2026-01-02,DIG002,44.7,22.0,111552,77.5,83.4
2026-01-02,DIG003,79.2,52.2,112903,89.1,73.8
2026-01-02,DIG004,67.3,69.6,160528,66.3,21.4
